"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",1.86781445259974,0.767924289501282,2.43228984697536,0.0156066206794652,0.356424604521729,3.37920430067774
"age",0.0011716186415226,0.00761392332081589,0.153878439820832,0.877812242833693,-0.0138137211484181,0.0161569584314633
"trestbps",0.00441974640399819,0.00356440226913298,1.2399684632322,0.215985996554728,-0.00259553033315574,0.0114350231411521
"chol",0.000980708241220702,0.00117354146078287,0.835682652887669,0.404019080290894,-0.00132899686171042,0.00329041334415183
"thalach",-0.01500674700206,0.00298502760746799,-5.02733943381827,8.70607561913946e-07,-0.0208817277571155,-0.00913176624700451
"oldpeak",0.411896403917078,0.0552674690430553,7.45278209856501,1.05032915299771e-12,0.303121759355585,0.520671048478572
