"term","estimate","std.error","statistic","conf.low","conf.high","coef.type"
"age",0.0090567480147234,0.0153948907961276,0.588295697232325,-0.0209981567297917,0.0394735982860619,"coefficient"
"trestbps",0.00858326870847174,0.00699662344831331,1.22677299584286,-0.00516586203172893,0.0222970363697038,"coefficient"
"chol",0.00209757361008191,0.00232158635704346,0.903508759740116,-0.00242644927120896,0.0066667179226687,"coefficient"
"thalach",-0.0285190795546793,0.00577692760347762,-4.9367209548396,-0.0400093045799255,-0.0173148957943721,"coefficient"
"oldpeak",0.671363328623099,0.107948621335811,6.21928580759352,0.462234274929626,0.886308115783687,"coefficient"
"0|1",-1.26113962869093,1.48340219718475,-0.850167022190179,NA,NA,"scale"
"1|2",-0.148060542964527,1.47840356916098,-0.100148935008696,NA,NA,"scale"
"2|3",0.787151434991937,1.47770112332532,0.532686496996485,NA,NA,"scale"
"3|4",2.45932524214238,1.49988409149525,1.63967686309056,NA,NA,"scale"
